,prix,type_de_bien,url_annonce,surface_terrain,surface_interieure,surface_jardin,nombre_de_pieces,ville,code_postal
117,175000,maison,https://www.etreproprio.com/immobilier-23227951-vente-parcelle-de-891-m-pour-projet-de-maison-a-moins-de-400-000-euros-saint-bernard,,891.0,,,Saint-Bernard,1600
651,99000,maison,https://www.etreproprio.com/immobilier-23967924-vente-maison-de-jardin-saint-maurice-de-beynost-71-m2-saint-maurice-de-beynost,,2304.0,,,Saint-Maurice-De-Beynost,1700
1006,1043000,maison,https://www.etreproprio.com/immobilier-20867871-vente-etang-vidangeable-sur-30-ha-avec-maison-d-habitation-moulins,,330000.0,,,Moulins,3000
2048,250000,maison,https://www.etreproprio.com/immobilier-22390489-vente-propriete-avec-maisons-l-escarene,,6000.0,,,L'escarene,6440
4292,86000,maison,https://www.etreproprio.com/immobilier-23746648-vente-un-cadre-privilegie-pour-votre-future-maison-ginestas,,509.0,,,Ginestas,11120
4995,199000,maison,https://www.etreproprio.com/immobilier-23978338-vente-reference-5806-aus-maison-a-construire-135m-garage-permis-purge-le-puy-sainte-reparade,,465.0,,,Le Puy-Sainte-Reparade,13610
5227,240000,maison,https://www.etreproprio.com/immobilier-20336824-vente-votre-maison-de-reve-a-saint-mitre-les-remparts-saint-mitre-les-remparts,,467.0,,,Saint-Mitre-Les-Remparts,13920
5860,499000,maison,https://www.etreproprio.com/immobilier-20007448-vente-maison-ouistreham-plain-pied-5-pieces-11761-m2-3-ch-en-cours-de-construction-livraison-2025-ouistreham,,524.0,,,Ouistreham,14150
5899,129000,maison,https://www.etreproprio.com/immobilier-23674198-vente-votre-future-maison-a-villers-sur-mer-villers-sur-mer,,400.0,,,Villers-Sur-Mer,14640
6178,163500,maison,https://www.etreproprio.com/immobilier-23320524-vente-projet-maison-70-m2-a-partir-de-163-500-passirac,,2039.0,,,Passirac,16480
6189,183500,maison,https://www.etreproprio.com/immobilier-23320525-vente-projet-maison-80-m2-a-partir-de-183-500-passirac,,2277.0,,,Passirac,16480
6190,193500,maison,https://www.etreproprio.com/immobilier-23320526-vente-projet-maison-90-m2-a-partir-de-193-500-passirac,,2328.0,,,Passirac,16480
6492,75000,maison,https://www.etreproprio.com/immobilier-20650825-vente-secteur-trevieres-offrez-vous-un-cadre-de-vie-unique-pour-votre-futur-projet-de-maison-trevieres,,2034.0,,,Trevieres,14710
7811,149000,maison,https://www.etreproprio.com/immobilier-24008284-vente-vous-revez-de-construire-votre-maison-au-coeur-d-un-cadre-naturel-preserve-saint-georges-d-oleron,,452.0,,,Saint-Georges-D'oleron,17190
8141,735000,maison,https://www.etreproprio.com/immobilier-22144901-vente-maison-sainte-marie-de-re-5-pieces-10654-m2-sainte-marie-de-re,,880.0,,,Sainte-Marie-De-Re,17740
8353,120000,maison,https://www.etreproprio.com/immobilier-23240284-vente-maison-a-vendre-a-saint-georges-d-oleron-opportunite-a-saisir-saint-georges-d-oleron,,187.0,,,Saint-Georges-D'oleron,17190
8993,137000,maison,https://www.etreproprio.com/immobilier-23237479-vente-construisez-votre-maison-dans-un-cadre-privilegie-a-10-min-de-dijon-arceau,,549.0,,,Arceau,21310
9778,82300,maison,https://www.etreproprio.com/immobilier-23427553-vente-construisez-la-maison-qui-vous-ressemble-au-coeur-de-genlis-genlis,,444.0,,,Genlis,21110
11341,79000,maison,https://www.etreproprio.com/immobilier-23791659-vente-etang-avec-maisonnette-et-terrasse-dussac,,9944.0,,,Dussac,24270
11620,70000,maison,https://www.etreproprio.com/immobilier-23343895-vente-a-boulazac-imaginez-votre-future-maison-dans-un-cadre-privilegie-boulazac,,1057.0,,,Boulazac,24750
11656,50000,maison,https://www.etreproprio.com/immobilier-22543387-vente-anciennes-maisons-a-renover-bassillac,,2908.0,,,Bassillac,24330
12857,109000,maison,https://www.etreproprio.com/immobilier-23529232-vente-imaginez-votre-maison-dans-un-cadre-unique-a-anet-anet,,1024.0,,,Anet,28260
12915,169999,maison,https://www.etreproprio.com/immobilier-23367233-vente-votre-maison-neuve-a-deux-pas-du-bourg-ici-plougastel-daoulas,,1012.0,,,Plougastel-Daoulas,29470
13222,99000,maison,https://www.etreproprio.com/immobilier-23506139-vente-imaginez-votre-maison-dans-un-cadre-unique-a-anet-anet,,623.0,,,Anet,28260
13660,97500,maison,https://www.etreproprio.com/immobilier-22264348-vente-maison-1-pieces-54m2-lyons-la-foret-etrepagny,,2007.0,,,Etrepagny,27150
17326,529900,maison,https://www.etreproprio.com/immobilier-24015071-vente-maison-t5-de-108-m-labarthe-sur-leze-labarthe-sur-leze,,3023.0,,,Labarthe-Sur-Leze,31860
18560,145100,maison,https://www.etreproprio.com/immobilier-23998209-vente-votre-future-maison-aux-portes-de-bordeaux-dans-un-environnement-arbore-a-artigues-pres-bordeaux-artigues-pres-bordeaux,,450.0,,,Artigues-Pres-Bordeaux,33370
19319,122000,maison,https://www.etreproprio.com/immobilier-23998274-vente-cadre-paisible-pour-votre-maison-saint-magne,,640.0,,,Saint-Magne,33125
20082,480000,maison,https://www.etreproprio.com/immobilier-16935923-vente-charmante-maison-en-pierre-du-19eme-siecle-fronsac,,1288.0,,,Fronsac,33126
20441,1250000,maison,https://www.etreproprio.com/immobilier-16743943-vente-belle-emplacement-a-montagne-avec-deux-maison-chai-et-vignes-saint-emilion,,75561.0,,,Saint-Emilion,33330
22609,630000,maison,https://www.etreproprio.com/immobilier-23595049-vente-propriete-rurale-et-sa-maison-d-habitation-clermont-l-herault,,1510000.0,,,Clermont-L'herault,34800
23499,969900,maison,https://www.etreproprio.com/immobilier-23018462-vente-grande-exploitation-cerealiere-140-ha-dans-le-boischaut-sud-avec-batiments-et-maison-en-option-neuvy-saint-sepulchre,,1401503.0,,,Neuvy-Saint-Sepulchre,36230
27521,159000,maison,https://www.etreproprio.com/immobilier-22377907-vente-secteur-chavanne-maison-de-60m2-saint-chamond,,722.0,,,Saint-Chamond,42400
27840,70000,maison,https://www.etreproprio.com/immobilier-16752105-vente-saint-romain-les-atheux-nouveau-programme-de-20-lots-le-beau-versant-destines-a-la-construction-de-maisons-saint-romain-les-atheux,,545.0,,,Saint-Romain-Les-Atheux,42660
29237,130900,maison,https://www.etreproprio.com/immobilier-23367917-vente-maison-de-plain-pied-2-chambres-pour-devenir-proprietaire-pouille-les-coteaux,,521.0,,,Pouille-Les-Coteaux,44522
29336,120000,maison,https://www.etreproprio.com/immobilier-22140304-vente-487-m-pres-de-nantes-pour-votre-maison-grandchamps-des-fontaines,,487.0,,,Grandchamps-Des-Fontaines,44119
29645,102800,maison,https://www.etreproprio.com/immobilier-23813578-vente-maison-2-chambres-a-prix-avantageux-nozay,,375.0,,,Nozay,44170
29667,115500,maison,https://www.etreproprio.com/immobilier-23711324-vente-maison-en-pierre-a-renover-missillac,,5207.0,,,Missillac,44780
30264,62000,maison,https://www.etreproprio.com/immobilier-21254686-vente-construisez-la-maison-de-vos-reves-dans-un-cadre-paisible-et-recherche-beaugency,,553.0,,,Beaugency,45190
30929,69000,maison,https://www.etreproprio.com/immobilier-22323966-vente-profitez-vite-de-cette-opportunite-a-st-pere-en-retz-pour-y-construire-votre-nouvelle-maison-re2020-saint-pere-en-retz,,318.0,,,Saint-Pere-En-Retz,44320
31442,97000,maison,https://www.etreproprio.com/immobilier-23813573-vente-votre-future-maison-plain-pied-sur-mesure-a-teille-teille,,313.0,,,Teille,44440
33617,345000,maison,https://www.etreproprio.com/immobilier-23803030-vente-maison-a-etage-de-125m-a-mercy-le-haut-mercy-le-haut,,550.0,,,Mercy-Le-Haut,54560
33618,345000,maison,https://www.etreproprio.com/immobilier-21894536-vente-maison-a-etage-de-125m-a-mercy-le-haut-mercy-le-haut,,550.0,,,Mercy-Le-Haut,54560
33619,345000,maison,https://www.etreproprio.com/immobilier-19943218-vente-maison-a-etage-de-125m-a-mercy-le-haut-mercy-le-haut,,550.0,,,Mercy-Le-Haut,54560
33626,493500,maison,https://www.etreproprio.com/immobilier-21275256-vente-etang-6-ha-maison-longuyon,,55000.0,,,Longuyon,54260
34888,139000,maison,https://www.etreproprio.com/immobilier-23464072-vente-superbe-opportunite-de-construction-de-3-maisons-conde-northen,,1802.0,,,Conde-Northen,57220
35462,128000,maison,https://www.etreproprio.com/immobilier-23990523-vente-maison-independante-st-leger-des-vignes-saint-leger-des-vignes,,14160.0,,,Saint-Leger-Des-Vignes,58300
35589,169000,maison,https://www.etreproprio.com/immobilier-21254716-vente-maison-a-renover-avec-potentiel-d-extension-secteur-calme-et-privilegie-seclin,,1024.0,,,Seclin,59113
36502,59000,maison,https://www.etreproprio.com/immobilier-23772394-vente-maison-a-restaurer-neuville-sur-touques,,8781.0,,,Neuville-Sur-Touques,61120
39759,62500,maison,https://www.etreproprio.com/immobilier-21213125-vente-evin-malmaison-rue-lafontaine-evin-malmaison,,1708.0,,,Evin-Malmaison,62141
40893,892500,maison,https://www.etreproprio.com/immobilier-21334160-vente-22ha-maison-90m-prats-de-mollo-la-preste-prats-de-mollo-la-preste,,22102.0,,,Prats-De-Mollo-La-Preste,66230
41930,317900,maison,https://www.etreproprio.com/immobilier-22660112-vente-au-bout-de-l-allee-maison-a-renover-sur-13-ares-horbourg-wihr,,104.0,,,Horbourg-Wihr,68180
43059,360000,maison,https://www.etreproprio.com/immobilier-21578511-vente-projet-de-construction-d-une-maison-a-limonest-lieudit-sandar-limonest,,1021.0,,,Limonest,69760
43286,869000,maison,https://www.etreproprio.com/immobilier-21061974-vente-maison-entrepot-simandres,,803.0,,,Simandres,69360
45196,369000,maison,https://www.etreproprio.com/immobilier-23739973-vente-possibilite-de-construire-deux-ou-trois-maisons-scionzier,,1325.0,,,Scionzier,74950
49050,92000,maison,https://www.etreproprio.com/immobilier-23911432-vente-offrez-vous-la-maison-sur-mesure-dans-un-environnement-paisible-lommoye,,948.0,,,Lommoye,78270
49120,96000,maison,https://www.etreproprio.com/immobilier-20888725-vente-offrez-vous-la-maison-sur-mesure-dans-un-environnement-paisible-lommoye,,767.0,,,Lommoye,78270
49121,96000,maison,https://www.etreproprio.com/immobilier-20932626-vente-offrez-vous-la-maison-sur-mesure-dans-un-environnement-paisible-lommoye,,726.0,,,Lommoye,78270
49499,125000,maison,https://www.etreproprio.com/immobilier-23240509-vente-projet-de-construction-maisons-jumelees-moret-sur-loing,,275.0,,,Moret-Sur-Loing,77250
50060,279000,maison,https://www.etreproprio.com/immobilier-23433397-vente-maison-chanteloup-les-vignes-chanteloup-les-vignes,,672.0,,,Chanteloup-Les-Vignes,78570
51569,89000,maison,https://www.etreproprio.com/immobilier-22898290-vente-bois-avec-maison-a-renover-lacaze,,225742.0,,,Lacaze,81330
52076,65500,maison,https://www.etreproprio.com/immobilier-22470554-vente-a-vendre-maison-a-renover-hangar-a-garganvillar-centre-potentiel-rare-garganvillar,,603.0,,,Garganvillar,82100
55181,213610,maison,https://www.etreproprio.com/immobilier-23846146-vente-a-l-entree-de-st-hilaire-de-riez-de-3300-m2-possibilites-2-maisons-saint-hilaire-de-riez,,3330.0,,,Saint-Hilaire-De-Riez,85270
55577,1456000,maison,https://www.etreproprio.com/immobilier-22879794-vente-vendee-85-saint-florent-des-bois-propriete-equestre-loisirs-maison-en-pierres-200m-activite-d-hebergement-15-hect-saint-florent-des-bois,,150000.0,,,Saint-Florent-Des-Bois,85310
55975,106000,maison,https://www.etreproprio.com/immobilier-23853805-vente-maison-plain-pied-2-chambres-saint-gervais,,720.0,,,Saint-Gervais,85230
56479,156000,maison,https://www.etreproprio.com/immobilier-19695249-vente-etang-vidangeable-maison-sur-3-ha-nomexy,,30000.0,,,Nomexy,88440
57466,79900,maison,https://www.etreproprio.com/immobilier-22141022-vente-cadre-verdoyant-pour-votre-future-maison-appoigny,,2186.0,,,Appoigny,89380
57634,59000,maison,https://www.etreproprio.com/immobilier-23606615-vente-un-cadre-paisible-pour-batir-votre-maison-a-saint-fargeau-saint-fargeau,,6488.0,,,Saint-Fargeau,89170
57977,89000,maison,https://www.etreproprio.com/immobilier-24022252-vente-maison-brem-sur-mer-brem-sur-mer,,350.0,,,Brem-Sur-Mer,85470
58200,91000,maison,https://www.etreproprio.com/immobilier-23690334-vente-maison-sainte-foy-sainte-foy,,682.0,,,Sainte-Foy,85150
59575,188900,maison,https://www.etreproprio.com/immobilier-20304344-vente-projet-de-maison-neuve-a-boussy-saint-antoine-boussy-saint-antoine,,654.0,,,Boussy-Saint-Antoine,91800
59855,340000,maison,https://www.etreproprio.com/immobilier-22337992-vente-maison-centre-ville-nanterre-nanterre,,174.0,,,Nanterre,92000
60133,140000,maison,https://www.etreproprio.com/immobilier-20723100-vente-projet-construction-maison-individuelle-breux-jouy,,400.0,,,Breux-Jouy,91650
60706,150000,maison,https://www.etreproprio.com/immobilier-20941534-vente-projet-construction-maison-individuelle-longpont-sur-orge,,230.0,,,Longpont-Sur-Orge,91310
60888,375000,maison,https://www.etreproprio.com/immobilier-21438395-vente-a-10-minutes-a-pied-du-metro-maisons-alfort-ecole-veterinaire-maisons-alfort,,275.0,,,Maisons-Alfort,94700
60958,684000,maison,https://www.etreproprio.com/immobilier-23291100-vente-maison-6-pieces-138-m2-bry-sur-marne,,588.0,,,Bry-Sur-Marne,94360
60973,749000,maison,https://www.etreproprio.com/immobilier-20915077-vente-maison-saint-maur-des-fosses-saint-maur-des-fosses,,120.0,,,Saint-Maur-Des-Fosses,94100
61783,170000,maison,https://www.etreproprio.com/immobilier-20605453-vente-maison-a-batir-a-eragny-sur-oise-dans-le-val-d-oise-eragny,,270.0,,,Eragny,95610
